[01 07 01:10:48] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_7_1_10_48.png||spendTime=0.47637343406677246Second
[01 12 01:03:57] [INFO]  server.windowManipulator/49 || Start Emulator...
[01 12 01:04:27] [INFO]  server.windowManipulator/35 || getEmulatorWindow success...
[01 12 01:04:29] [INFO]  __main__/25 || current Operate:arkNightsApp
[01 12 01:04:29] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_4_29.png||spendTime=0.4387357234954834Second
[01 12 01:04:45] [INFO]  server.windowManipulator/43 || getGameWindow success...
[01 12 01:04:57] [INFO]  __main__/25 || current Operate:homePage_WatingForWeakup
[01 12 01:04:57] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_4_57.png||spendTime=0.17002201080322266Second
[01 12 01:04:57] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/homePage_WatingForWeakup.png
[01 12 01:04:57] [INFO]  __main__/30 || Can't find button:homePage_WatingForWeakup
[01 12 01:04:57] [INFO]  __main__/25 || current Operate:closePost
[01 12 01:04:57] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_4_57.png||spendTime=0.31174373626708984Second
[01 12 01:04:58] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/closePost.png
[01 12 01:04:58] [INFO]  __main__/30 || Can't find button:closePost
[01 12 01:27:49] [INFO]  server.windowManipulator/43 || getGameWindow success...
[01 12 01:27:49] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:27:50] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_27_49.png||spendTime=0.2902109622955322Second
[01 12 01:27:50] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:27:50] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:27:55] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:27:55] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_27_55.png||spendTime=0.25702357292175293Second
[01 12 01:27:55] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:27:55] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:00] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:28:00] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_0.png||spendTime=0.2648046016693115Second
[01 12 01:28:01] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:28:01] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:06] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:28:06] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_6.png||spendTime=0.2794623374938965Second
[01 12 01:28:06] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:28:06] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:11] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:28:11] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_11.png||spendTime=0.26871347427368164Second
[01 12 01:28:11] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:28:11] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:16] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:28:17] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_16.png||spendTime=0.2608964443206787Second
[01 12 01:28:17] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:28:17] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:22] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:28:22] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_22.png||spendTime=0.2848529815673828Second
[01 12 01:28:22] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:28:22] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:27] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:28:27] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_27.png||spendTime=0.3087766170501709Second
[01 12 01:28:27] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:28:27] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:32] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:28:33] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_32.png||spendTime=0.29462504386901855Second
[01 12 01:28:33] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:28:33] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:38] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:28:38] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_38.png||spendTime=0.254561185836792Second
[01 12 01:28:38] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:28:38] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:43] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:28:43] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_43.png||spendTime=0.2765309810638428Second
[01 12 01:28:44] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:28:44] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:49] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:28:49] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_49.png||spendTime=0.30010151863098145Second
[01 12 01:28:49] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:28:49] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:54] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:28:54] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_54.png||spendTime=0.29705071449279785Second
[01 12 01:28:54] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:28:54] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:28:59] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:29:00] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_28_59.png||spendTime=0.3043980598449707Second
[01 12 01:29:00] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:29:00] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:29:05] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:29:05] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_29_5.png||spendTime=0.2794969081878662Second
[01 12 01:29:05] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:29:05] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:29:10] [INFO]  __main__/25 || current Operate:startOperation
